Age,SR,Ca,K_Area ,Br_Area ,K/Ti,Sr_Area 
3803,0.3122073,390238,36152,4157,2.108726085,17899
3819,0.3114295,426759,38909,2433,2.3538415,17297
3845,0.3103662,326684,37503,5532,1.992826399,18831
3861,0.3096934,287958,41899,4822,2.135851557,18473
3877,0.309119,174398,49082,4114,2.337015522,16025
3893,0.3085467,263360,50253,2464,2.594506686,14135
3910,0.3080715,536265,34427,2403,2.445620516,19716
3936,0.3072197,220078,55873,1717,2.79798688,13468
3952,0.3066544,245323,39121,2580,2.296911696,15836
3968,0.3059976,298511,39178,3174,2.208455468,16267
3985,0.3052503,282918,26534,5908,1.660138898,18021
4001,0.3045067,570390,20988,3105,1.903846154,17719
4027,0.3031222,307958,32224,5125,1.826239728,18807
4044,0.3022061,270464,33731,5550,1.781410087,18763
4060,0.3012048,279030,31361,6111,1.821090529,19217
4077,0.30012,260580,30479,5754,1.831230473,18303
4094,0.2990431,326773,28038,5107,1.832189767,17340
4110,0.297885,298481,30971,5270,1.805257636,18658
4131,0.2963841,403707,33845,4099,2.193738657,21365
4148,0.2950723,471958,29078,2600,2.152331606,20374
4175,0.2929974,380094,30670,5883,1.82028607,18605
4192,0.2915452,346305,36095,4201,2.140104352,17286
4209,0.2901073,333957,37534,4333,2.149221255,17229
4226,0.2886003,242103,34424,6102,1.779477901,18099
4244,0.2870264,261669,34220,5432,1.759202139,18380
4261,0.2854696,284078,27915,5836,1.678189251,18573
4279,0.283849,413486,28908,4501,1.743756786,18473
4296,0.282167,415445,28114,4726,1.794243411,18519
4314,0.2804262,403902,29899,3877,2.045774889,17001
4332,0.2787068,419114,26776,4335,1.805164161,19424
4350,0.2769316,492722,22222,3166,1.707414522,20104
4368,0.2751032,746608,23157,3614,2.144563808,19790
4405,0.2714441,358115,28266,5147,1.849143007,17721
4423,0.2695418,345859,31919,5961,1.973597972,20061
4442,0.2675943,457051,32686,4564,2.042236801,18675
4460,0.2656748,398487,30274,5320,1.866346095,20151
4479,0.2637131,424161,28615,5037,1.916610851,20870
4498,0.2617116,494169,31203,3673,2.149855312,20769
4517,0.2597403,433468,25739,3382,2.017004937,16114
4537,0.2576656,376228,29299,4177,2.006918282,18216
4556,0.2556891,256632,31358,4391,2.086916012,17652
4576,0.253614,292739,40012,4495,2.211585231,16918
4596,0.2515723,322778,44814,3830,2.341256988,17309
4616,0.249501,343158,51136,2781,2.759930915,16341
4636,0.2474023,281814,43722,3249,2.437123746,15144
4656,0.2452784,385861,43625,2439,2.670645852,16562
4676,0.2431907,312416,54638,2459,2.815230833,14831
4697,0.24108,361470,52562,1705,2.874439462,17657
4718,0.2390057,321117,55743,1885,2.841421144,15019
4739,0.2368546,291297,56801,2260,2.955460742,15203
4760,0.2347418,250881,58503,2154,3.155161256,13183
4781,0.2326664,242542,52901,2261,2.938454702,13654
4803,0.230521,300541,33357,3229,2.204984135,15613
4825,0.2284148,286439,48111,1654,2.686414652,14253
4847,0.2262955,200746,61301,1644,2.911331687,13118
4869,0.224165,162940,60288,1777,2.792791958,14065
4891,0.2220742,155359,57346,2065,2.739763986,13378
4914,0.2199736,101232,68585,1637,3.009830166,10944
4937,0.2178649,91654,68374,1188,3.029688054,10964
4960,0.2157963,119942,61961,1751,2.776528052,11512
4983,0.2136752,321972,38215,3774,2.142456691,17510
5007,0.2115954,335079,31658,5309,1.835565606,19775
5030,0.2095557,360340,32454,6195,1.917971751,18613
5054,0.2074689,359177,33983,5804,1.980245906,18873
5078,0.2054232,289174,35764,5878,1.823577402,18877
5103,0.203376,638995,28560,3574,2.282426277,19222
5128,0.2013693,665102,29518,3563,2.232829047,20634
5152,0.1994416,847786,27333,2585,2.649830344,25633
5218,0.1949698,405971,28705,5414,1.828111069,19148
5244,0.193461,469033,26538,5208,1.872565622,20078
5270,0.1920861,589323,25221,3720,2.018648951,19008
5296,0.1908033,387907,28726,4906,1.717959452,18982
5322,0.1896454,592175,22390,3367,1.89440731,18706
5349,0.1885725,590411,25132,3883,1.889055923,20199
5375,0.1875821,398813,26137,3989,1.748294314,19151
5402,0.1867065,388007,26447,3811,1.992541249,17337
5429,0.1859082,397994,23537,3647,1.780004538,18071
5456,0.1852195,398323,22593,4213,1.735920092,18215
5488,0.1844678,495530,31356,4486,2.078483362,18999
5515,0.1839588,613248,32248,3985,2.226764259,20433
5532,0.1836885,569517,40377,3535,2.415759244,20755
5559,0.1833181,492768,38090,4615,2.161257376,19056
5586,0.1830161,447923,45460,2829,2.600686499,17295
5614,0.1828154,311473,63584,1774,3.097880633,14040
5641,0.1826818,307207,56890,2137,2.702998052,15253
5668,0.182615,352864,58247,2507,2.740648379,15875
5696,0.1826484,420934,43296,2828,2.342983928,19042
5723,0.1827485,592934,43742,3115,2.6130227,19835
5761,0.1830496,892670,25756,3014,2.224948169,20722
5794,0.1834189,785204,35502,3213,2.386528637,18688
5821,0.1838235,481072,35701,4671,2.087899877,19796
5849,0.1842978,432650,32476,4740,2.028989129,18754
5876,0.1848771,885687,17274,2988,1.819081719,16383
5903,0.1855288,909700,24134,2679,2.272718712,17966
5930,0.1862891,880253,19187,2672,1.963467049,17538
5940,0.186602,720389,27922,2768,2.039888954,20734
5967,0.1874766,561398,35141,4429,2.097970149,20591
5994,0.1884304,599438,35508,4236,2.208208955,21068
6020,0.1895016,833986,26110,2546,2.252415459,19476
6046,0.1906578,576226,52154,2776,2.988767908,18912
6073,0.1919386,504107,60813,2073,3.127436359,15973
6099,0.1933114,616050,41548,2542,2.566751097,18030
6124,0.1947799,711987,32756,3313,2.381561727,19170
6150,0.1963865,728402,28665,3651,2.251944379,19427
6175,0.1980983,1018285,24251,2813,2.249628942,18624
6200,0.19996,708172,30156,3877,2.300228833,18799
